label,text
spam,Win a FREE iPhone now! Click here to claim your prize
spam,Congratulations you have won a cash prize of $1000
spam,FREE entry in 2 a weekly competition to win FA Cup final tickets
spam,URGENT! You have won a 1 week FREE membership in our prize reward scheme
spam,Win a free vacation! Call now to claim your prize
spam,You have been selected for a cash award click here
spam,FREE ringtone waiting to be collected simply text the word
spam,Claim your free gift now limited time offer expires soon
spam,You are a winner of our monthly draw click to collect
spam,Congratulations! You won a free ticket click here to claim
spam,WINNER! As a valued customer you have been selected to receive a prize
spam,Get paid to take surveys from home earn up to $500 daily
spam,Your mobile number has won the UK national lottery prize
spam,Call now to claim your prize before it expires today only
spam,Free gift for you just click the link and register now
spam,Buy cheap medications online no prescription needed lowest prices
spam,Make money fast working from home guaranteed income weekly
spam,Hot singles in your area want to meet you click here
spam,You qualify for a $5000 loan no credit check apply now
spam,Limited offer buy now get 90 percent discount today only
spam,Click here to claim your free reward before it expires
spam,You have been chosen to receive a special bonus prize
spam,Exclusive deal just for you click now to save big
spam,Your account has been selected for a free upgrade click here
spam,Act now and receive a free gift with every purchase today
spam,Win big prizes every week just register your number now
spam,Special promotion only for selected customers claim your reward
spam,You are eligible for a free trial click to start now
spam,Earn money online from home no experience needed start today
spam,Free holiday winner call this number to claim your trip
ham,Hey are we still meeting at 3pm tomorrow?
ham,Can you pick up some milk on your way home?
ham,The meeting has been moved to Thursday afternoon
ham,Happy birthday hope you have a wonderful day
ham,I will be there in about 10 minutes running a bit late
ham,Did you see the game last night it was amazing
ham,Can you send me the report before end of day
ham,Dinner was great we should do it again sometime
ham,I finished the project and sent it to the client
ham,What time does the movie start tonight?
ham,Just checking in to see how you are doing
ham,The package was delivered this morning to the front door
ham,Can we reschedule our call to next week?
ham,I will call you when I get out of the office
ham,Thanks for your help yesterday really appreciate it
ham,The kids have a soccer game on Saturday morning
ham,Let me know when you are free to talk this week
ham,I sent you an email with all the details please check
ham,We are having a team lunch on Friday want to join?
ham,Just got home everything went fine today at work
ham,Are you coming to the party on Saturday evening?
ham,The doctor appointment is at 2pm on Wednesday
ham,I need to leave early today can someone cover for me
ham,Good morning hope you slept well last night
ham,The flight lands at 6pm can you pick me up?
ham,I finished reading that book you recommended it was great
ham,We need to talk about the budget for next quarter
ham,Mom called she wants us to come for dinner Sunday
ham,I am working from home today if you need anything
ham,The wifi is down in the office again so frustrating
ham,Can you bring the documents to the meeting tomorrow?
